Subject,Accuracy,Precision,Recall,F1 Score,AUC,Avg Time Per Sample (s)
A_01,0.9100123800680904,0.6286919831223629,0.12173202614379085,0.20396988364134155,0.5571053293112116,1.0
A_02,0.9195295574125658,0.6949152542372882,0.2679738562091503,0.3867924528301887,0.627833081950729,1.0
A_03,0.9052924791086351,0.5,0.013888888888888888,0.02702702702702703,0.5062179487179487,1.0
A_04,0.9120241411327762,0.6733067729083665,0.1380718954248366,0.22915254237288135,0.5655316742081448,1.0
A_05,0.9059114825131538,0.5740740740740741,0.025326797385620915,0.048513302034428794,0.5116804927099045,1.0
A_06,0.9265707211389662,0.7383015597920277,0.3480392156862745,0.47307051637978903,0.6675666163901458,1.0
A_07,0.7099969049829774,0.20787037037037037,0.7336601307189542,0.32395382395382394,0.7205907491201609,1.0
A_09,0.6445372949551222,0.15012458471760798,0.5906862745098039,0.23940397350993378,0.6204286073403721,1.0
A_14,0.9033580934695141,0.35294117647058826,0.024509803921568627,0.04583651642475172,0.5099044746103569,1.0
A_15,0.9042865985762921,0.4084507042253521,0.02369281045751634,0.044787644787644784,0.5100515334338863,1.0
A_16,0.632002476013618,0.14251012145748987,0.5751633986928104,0.22842310188189488,0.6065560583207642,1.0
A_17,0.9056019808108945,0.5666666666666667,0.013888888888888888,0.02711323763955343,0.5063888888888889,1.0
A_19,0.9063757350665429,0.553030303030303,0.059640522875817,0.10766961651917405,0.527298893916541,1.0
